,car_name,company_name,year,price,kms_driven,fuel_type
0,Hyundai Grand i10,Hyundai,2024,850000,3381,Petrol
1,Maruti Suzuki Swift,Maruti,2015,380000,87000,Diesel
2,Hyundai Santro Xing,Hyundai,2011,185000,84967,Petrol
3,Honda WR V,Honda,2021,625000,82000,Petrol
4,Maruti Suzuki Maruti,Maruti,2024,1290000,12500,Hybrid
5,Maruti Suzuki Wagon,Maruti,2015,325000,90000,Petrol
6,Renault Kwid 1.0,Renault,2023,475000,4500,Petrol
7,Maruti Suzuki XL6,Maruti,2021,865000,75000,Petrol
8,Mahindra Quanto C4,Mahindra,2013,275000,94000,Diesel
9,Maruti Suzuki Ertiga,Maruti,2012,610000,58000,Petrol
10,Volvo XC 60,Volvo,2016,1399999,30000,Diesel
11,MG Motors Hector,MG,2021,1400000,39000,Petrol
12,Toyota URBAN CRUISER,Toyota,2024,1049000,1800,Petrol
13,Renault Kwid CLIMBER,Renault,2020,445000,12890,Petrol
14,Tata Tiago XZ,Tata,2020,350000,52000,Petrol
15,Toyota Corolla Altis,Toyota,2012,499999,51500,Petrol
16,Kia Seltos HTK,Kia,2024,1695000,8000,Petrol
17,Honda City 1.5,Honda,2013,499000,36050,Petrol
18,Volkswagen VIRTUS,Volkswagen,2024,2075000,12000,Petrol
19,Maruti Suzuki XL6,Maruti,2024,1450000,8000,Petrol
20,Kia Carens Luxury,Kia,2022,2100000,17000,Diesel
21,Hyundai Creta 1.6,Hyundai,2023,1650000,33900,Diesel
22,Hyundai EXTER,Hyundai,2023,950000,16500,Petrol
23,Toyota Glanza V,Toyota,2024,850000,4200,Petrol
24,Maruti Suzuki Wagon,Maruti,2015,325000,90000,Petrol
25,Renault Kwid 1.0,Renault,2023,475000,4500,Petrol
26,Maruti Suzuki XL6,Maruti,2021,865000,75000,Petrol
27,Mahindra Quanto C4,Mahindra,2013,275000,94000,Diesel
28,Maruti Suzuki Ertiga,Maruti,2012,610000,58000,Petrol
29,Volvo XC 60,Volvo,2016,1399999,30000,Diesel
30,MG Motors Hector,MG,2021,1400000,39000,Petrol
31,Toyota URBAN CRUISER,Toyota,2024,1049000,1800,Petrol
32,Renault Kwid CLIMBER,Renault,2020,445000,12890,Petrol
33,Tata Tiago XZ,Tata,2020,350000,52000,Petrol
34,Toyota Corolla Altis,Toyota,2012,499999,51500,Petrol
35,Kia Seltos HTK,Kia,2024,1695000,8000,Petrol
36,Honda City 1.5,Honda,2013,499000,36050,Petrol
37,Volkswagen VIRTUS,Volkswagen,2024,2075000,12000,Petrol
38,Maruti Suzuki XL6,Maruti,2024,1450000,8000,Petrol
39,Kia Carens Luxury,Kia,2022,2100000,17000,Diesel
40,Hyundai Creta 1.6,Hyundai,2023,1650000,33900,Diesel
41,Hyundai EXTER,Hyundai,2023,950000,16500,Petrol
42,Toyota Glanza V,Toyota,2024,850000,4200,Petrol
43,Skoda Rapid 1.6,Skoda,2015,441000,71000,Diesel
44,Maruti Suzuki Celerio,Maruti,2014,285000,73000,Petrol
45,Ford Fiesta Classic,Ford,2012,229999,46629,Diesel
46,Mahindra XUV700,Mahindra,2024,2525000,31000,Diesel
47,MG Motors Astor,MG,2023,1190000,36000,Petrol
48,Maruti Suzuki Ritz,Maruti,2012,395000,75000,Diesel
49,Mahindra XUV500,Mahindra,2015,800000,70000,Diesel
50,Maruti Suzuki Ciaz,Maruti,2019,825000,10700,Petrol
51,Honda City VX,Honda,2014,490000,57000,Petrol
52,Hyundai Creta 1.6,Hyundai,2016,725000,0,Diesel
53,Toyota Fortuner 4x2,Toyota,2021,3450000,60000,Diesel
54,Honda City V,Honda,2021,925000,57300,Petrol
55,Mahindra Thar,Mahindra,2023,1755000,11000,Petrol
56,Mercedes Benz GLA,Mercedes,2014,1275000,40000,Diesel
57,Honda Amaze 1.2,Honda,2015,445000,29000,Petrol
58,Volkswagen Polo IPL,Volkswagen,2016,595000,45000,Petrol
59,Maruti Suzuki Ertiga,Maruti,2024,1100000,35000,Petrol
60,Maruti Suzuki XL6,Maruti,2021,865000,75000,Petrol
61,Hyundai Creta 1.6,Hyundai,2022,1695000,10500,Petrol
62,MG Motors Gloster,MG,2024,4550000,2265,Diesel
63,Volkswagen Tiguan,Volkswagen,2022,2535000,31000,Petrol
64,Hyundai NEW I20,Hyundai,2024,1230000,17930,Petrol
65,Honda ELEVATE,Honda,2024,1850000,13955,Petrol
66,Volkswagen VIRTUS,Volkswagen,2023,1395000,44500,Petrol
67,Maruti Suzuki Celerio,Maruti,2014,285000,73000,Petrol
68,Ford Fiesta Classic,Ford,2012,229999,46629,Diesel
69,Mahindra XUV700,Mahindra,2024,2525000,31000,Diesel
70,MG Motors Astor,MG,2023,1190000,36000,Petrol
71,Maruti Suzuki Ritz,Maruti,2012,395000,75000,Diesel
72,Mahindra XUV500,Mahindra,2015,800000,70000,Diesel
73,Maruti Suzuki Ciaz,Maruti,2019,825000,10700,Petrol
74,Honda City VX,Honda,2014,490000,57000,Petrol
75,Hyundai Creta 1.6,Hyundai,2016,725000,0,Diesel
76,Toyota Fortuner 4x2,Toyota,2021,3450000,60000,Diesel
77,Honda City V,Honda,2021,925000,57300,Petrol
78,Mahindra Thar,Mahindra,2023,1755000,11000,Petrol
79,Mercedes Benz GLA,Mercedes,2014,1275000,40000,Diesel
80,Honda Amaze 1.2,Honda,2015,445000,29000,Petrol
81,Volkswagen Polo IPL,Volkswagen,2016,595000,45000,Petrol
82,Maruti Suzuki Ertiga,Maruti,2024,1100000,35000,Petrol
83,Maruti Suzuki XL6,Maruti,2021,865000,75000,Petrol
84,Hyundai Creta 1.6,Hyundai,2022,1695000,10500,Petrol
85,MG Motors Gloster,MG,2024,4550000,2265,Diesel
86,Volkswagen Tiguan,Volkswagen,2022,2535000,31000,Petrol
87,Hyundai NEW I20,Hyundai,2024,1230000,17930,Petrol
88,Honda ELEVATE,Honda,2024,1850000,13955,Petrol
89,Volkswagen VIRTUS,Volkswagen,2023,1395000,44500,Petrol
90,Toyota Innova Crysta,Toyota,2022,2250000,90000,Diesel
91,Mahindra Scorpio W,Mahindra,2017,650000,15000,Diesel
92,Honda Jazz V,Honda,2016,395000,81000,Petrol
93,Mahindra Bolero Neo,Mahindra,2023,935000,39000,Diesel
94,Volkswagen Polo Comfortline,Volkswagen,2011,265000,10000,Diesel
95,Hyundai Grand i10,Hyundai,2019,435000,79000,Petrol
96,Mahindra Thar CRDe,Mahindra,2022,1425000,22000,Diesel
97,Audi Q7 45,Audi,2017,3499000,40000,Diesel
98,Audi Q7 45,Audi,2017,3499000,40000,Diesel
99,Mercedes Benz GLC,Mercedes,2017,2750000,74000,Diesel
100,Mercedes Benz GLC,Mercedes,2017,2750000,74000,Diesel
101,Volvo S60 Cross,Volvo,2016,1399000,60000,Diesel
102,Volvo S60 Cross,Volvo,2016,1399000,60000,Diesel
103,BMW 3 Series,BMW,2017,2275000,60000,Diesel
104,BMW 3 Series,BMW,2017,2275000,60000,Diesel
105,Honda City ZX,Honda,2017,645000,50043,Petrol
106,BMW 3 Series,BMW,2020,3300000,21930,Diesel
107,Force Motors Gurkha,Force,2022,1175000,37600,Diesel
108,Volkswagen VIRTUS,Volkswagen,2022,1650000,22000,Petrol
109,Kia Sonet GTX,Kia,2023,1545000,12930,Diesel
110,Mahindra XUV 700,Mahindra,2024,2490000,23000,Diesel
111,Honda City V,Honda,2021,985000,27000,Petrol
112,Skoda Octavia L,Skoda,2020,1495000,75000,Diesel
