"lozad src","car-info__footer","prime-features","price"
"https://teja8.kuikr.com/i5/20260528/White-2024-Hyundai-Grand-i10-NIOS-Asta-Petrol---3381-kms-driven-in-ak_LWBP330294493-1779978319_gv.webp","Hyundai Grand i10 NIOS Asta Petrol - 2024","3,381 kms / Petrol / 1st Owner","₹8,50,000"
"https://teja8.kuikr.com/i5/20260528/White-2015-Maruti-Suzuki-Swift-LDi---87000-kms-driven-in-Karmeta-VB201705171774173-ak_LWBP1994467288-1779968665_gv.webp","Maruti Suzuki Swift LDi - 2015","87,000 kms / Diesel","₹3,80,000"
"https://teja8.kuikr.com/i6/20260509/Red-2011-Hyundai-Santro-Xing-GLS---84-967-kms-driven-in-Wadi-VB201705171774173-ak_WBP1807496036-1778336289_gv.webp","Hyundai Santro Xing GLS - 2011","84,967 kms / Petrol","₹1,85,000"
"https://teja8.kuikr.com/i5/20260527/Black-2021-Honda-WR-V---82000-kms-driven-in-Howrah-AC-Market-ak_LWBP1348427035-1779857905_gv.webp","Honda WR V - 2021","82,000 kms / Petrol / 1st Owner","₹6,25,000"
"https://teja8.kuikr.com/i4/20260526/Black-2024-Maruti-Suzuki-BREZZA-ZXI---12500-kms-driven-in-Nehru-Nagar-ak_LWBP40494306-1779772878_gv.webp","Maruti Suzuki Maruti Suzuki BREZZA BREZZA ZXI ZXI - 2024 2024","12,500 kms / Hybrid,Hybrid / one,one","₹12,90,000"
"","Maruti Suzuki Wagon R VXi BS III - 2015","90,000 kms / Petrol / 2nd Owner","₹3,25,000"
"","Renault Kwid 1.0 RXT Opt - 2023","4,500 kms / Petrol","₹4,75,000"
"","Maruti Suzuki XL6 Zeta AT Petrol - 2021","1,75,000 kms / Petrol","₹8,65,000"
"","Mahindra Quanto C4 - 2013","94,000 kms / Diesel / 3rd Owner","₹2,75,000"
"","Maruti Suzuki Ertiga VDi - 2012","58,000 kms / Petrol / 1st Owner","₹6,10,000"
